"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Veteran","Firms with 16 or more years in business","2018","9","L","163","8,224","56.0","S","3.3","3.6"
"United States","51","Information","Total","Total","Asian","Veteran","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Asian","Veteran","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Asian","Veteran","Firms with 6 to 10 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Asian","Veteran","Firms with 11 to 15 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Asian","Veteran","Firms with 16 or more years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Veteran","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Veteran","Firms with 11 to 15 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Minority","Veteran","Firms with less than 2 years in business","2018","14","I","41","1,897","38.1","S","61.0","46.2"
"United States","51","Information","Total","Total","Minority","Veteran","Firms with 2 to 3 years in business","2018","11","O","380","31,275","34.3","S","2.1","2.2"
"United States","51","Information","Total","Total","Minority","Veteran","Firms with 4 to 5 years in business","2018","29","L","96","4,103","79.8","S","25.6","17.8"
"United States","51","Information","Total","Total","Minority","Veteran","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Minority","Veteran","Firms with 11 to 15 years in business","2018","27","M","399","30,270","42.6","S","44.6","48.4"
"United States","51","Information","Total","Total","Minority","Veteran","Firms with 16 or more years in business","2018","51","R","1,758","97,822","30.6","S","10.7","22.2"
"United States","51","Information","Total","Total","Equally minority/nonminority","Veteran","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Veteran","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Equally minority/nonminority","Veteran","Firms with 4 to 5 years in business","2018","4","K","34","1,333","40.1","S","9.8","5.0"
"United States","51","Information","Total","Total","Equally minority/nonminority","Veteran","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Equally minority/nonminority","Veteran","Firms with 11 to 15 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Equally minority/nonminority","Veteran","Firms with 16 or more years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Nonminority","Veteran","Firms with less than 2 years in business","2018","500","R","2,408","153,811","22.3","S","13.1","9.5"
"United States","51","Information","Total","Total","Nonminority","Veteran","Firms with 2 to 3 years in business","2018","378","R","1,590","90,790","28.6","S","33.0","37.9"
"United States","51","Information","Total","Total","Nonminority","Veteran","Firms with 4 to 5 years in business","2018","246","R","1,709","147,067","31.0","S","15.4","18.7"
"United States","51","Information","Total","Total","Nonminority","Veteran","Firms with 6 to 10 years in business","2018","370","T","3,843","326,939","23.0","S","19.1","18.3"
"United States","51","Information","Total","Total","Nonminority","Veteran","Firms with 11 to 15 years in business","2018","438","T","3,357","207,348","23.1","S","24.6","26.2"
"United States","51","Information","Total","Total","Nonminority","Veteran","Firms with 16 or more years in business","2018","1,717","W","39,512","2,531,979","12.2","S","15.2","16.4"
"United States","51","Information","Total","Total","Total","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","269","R","1,500","72,788","20.4","S","69.2","37.9"
"United States","51","Information","Total","Total","Total","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","202","R","957","41,572","36.5","S","41.4","21.1"
"United States","51","Information","Total","Total","Total","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","92","L","371","17,296","25.8","S","40.0","43.6"
"United States","51","Information","Total","Total","Total","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Total","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","189","R","1,055","62,362","40.4","S","20.0","17.9"
"United States","51","Information","Total","Total","Total","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","610","U","6,518","380,911","28.4","S","35.0","39.4"
"United States","51","Information","Female","Total","Total","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Female","Total","Total","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Female","Total","Total","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Female","Total","Total","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Male","Total","Total","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","51","Information","Male","Total","Total","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","51","Information","Male","Total","Total","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","51","Information","Male","Total","Total","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","51","Information","Male","Total","Total","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","86","R","649","46,607","83.8","S","25.0","24.1"
"United States","51","Information","Male","Total","Total","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","156","R","1,986","126,405","55.3","S","28.1","40.0"
"United States","51","Information","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","148","R","502","42,369","14.4","S","37.0","13.9"
"United States","51","Information","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","140","O","509","28,280","47.2","S","39.7","29.0"
"United States","51","Information","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","51","Information","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","149","M","546","16,840","26.7","S","16.1","24.6"
"United States","51","Information","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","51","Information","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","453","T","4,531","254,506","27.8","S","50.4","57.1"
"United States","51","Information","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","6","I","11","432","26.8","S","29.2","2.6"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","5","B","3","124","74.6","S","124.7","110.8"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","4","B","2","146","69.5","S","80.3","2.4"
"United States","51","Information","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","263","R","1,489","72,350","20.9","S","69.7","38.1"
"United States","51","Information","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","194","R","948","38,425","38.5","S","41.8","23.8"
"United States","51","Information","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","51","Information","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","51","Information","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","174","R","1,020","61,034","45.6","S","21.6","18.6"
"United States","51","Information","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","599","U","6,462","379,475","27.9","S","35.3","39.6"
"United States","51","Information","Total","Total","White","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","267","R","1,500","72,765","20.6","S","69.2","37.9"
"United States","51","Information","Total","Total","White","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","197","R","953","41,430","37.8","S","41.6","21.3"
"United States","51","Information","Total","Total","White","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","92","L","371","17,296","25.8","S","40.0","43.6"
"United States","51","Information","Total","Total","White","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","White","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","185","R","1,049","62,106","41.6","S","20.1","17.9"
"United States","51","Information","Total","Total","White","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","604","U","6,470","378,842","28.6","S","35.0","39.6"
"United States","51","Information","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Asian","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Minority","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Minority","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Minority","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Minority","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Minority","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","9","I","37","2,003","37.8","S","18.4","5.0"
"United States","51","Information","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with less than 2 years in business","2018","245","R","1,375","70,173","23.4","S","76.3","39.5"
"United States","51","Information","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 2 to 3 years in business","2018","190","R","944","38,283","39.6","S","42.0","23.9"
"United States","51","Information","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 4 to 5 years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 11 to 15 years in business","2018","170","R","1,014","60,777","47.0","S","21.6","18.6"
"United States","51","Information","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 16 or more years in business","2018","593","U","6,413","377,356","27.9","S","35.3","39.7"
"United States","51","Information","Total","Total","Total","Nonveteran","Firms with less than 2 years in business","2018","13,213","W","58,972","4,219,216","4.0","S","6.4","5.8"
"United States","51","Information","Total","Total","Total","Nonveteran","Firms with 2 to 3 years in business","2018","10,355","W","60,312","4,298,940","7.1","S","16.0","19.7"
"United States","51","Information","Total","Total","Total","Nonveteran","Firms with 4 to 5 years in business","2018","7,008","W","53,819","3,595,759","7.4","S","11.6","12.6"
"United States","51","Information","Total","Total","Total","Nonveteran","Firms with 6 to 10 years in business","2018","10,461","W","128,842","11,722,675","4.8","S","7.9","13.6"
"United States","51","Information","Total","Total","Total","Nonveteran","Firms with 11 to 15 years in business","2018","8,277","W","179,173","28,617,482","5.3","S","14.9","12.5"
"United States","51","Information","Total","Total","Total","Nonveteran","Firms with 16 or more years in business","2018","18,508","W","533,560","37,416,808","4.8","S","3.6","6.5"
"United States","51","Information","Female","Total","Total","Nonveteran","Firms with less than 2 years in business","2018","2,113","U","9,211","745,067","5.7","S","5.3","4.6"
"United States","51","Information","Female","Total","Total","Nonveteran","Firms with 2 to 3 years in business","2018","1,674","U","6,860","361,229","13.4","S","17.1","19.2"
"United States","51","Information","Female","Total","Total","Nonveteran","Firms with 4 to 5 years in business","2018","986","U","6,485","315,438","12.6","S","39.4","25.8"
"United States","51","Information","Female","Total","Total","Nonveteran","Firms with 6 to 10 years in business","2018","1,619","U","11,432","659,797","13.5","S","36.5","25.2"
"United States","51","Information","Female","Total","Total","Nonveteran","Firms with 11 to 15 years in business","2018","1,305","U","11,317","856,915","18.3","S","17.0","17.8"
"United States","51","Information","Female","Total","Total","Nonveteran","Firms with 16 or more years in business","2018","3,212","W","62,125","4,360,640","8.5","S","5.2","9.9"
"United States","51","Information","Male","Total","Total","Nonveteran","Firms with less than 2 years in business","2018","9,560","W","44,404","3,145,266","4.4","S","7.6","7.4"
"United States","51","Information","Male","Total","Total","Nonveteran","Firms with 2 to 3 years in business","2018","7,485","W","48,834","3,673,024","7.1","S","18.7","23.0"
"United States","51","Information","Male","Total","Total","Nonveteran","Firms with 4 to 5 years in business","2018","5,314","W","42,220","3,002,420","9.3","S","11.7","14.5"
"United States","51","Information","Male","Total","Total","Nonveteran","Firms with 6 to 10 years in business","2018","7,272","W","109,584","10,493,576","7.1","S","8.4","15.2"
"United States","51","Information","Male","Total","Total","Nonveteran","Firms with 11 to 15 years in business","2018","5,675","W","155,809","26,848,447","6.0","S","18.0","13.6"
"United States","51","Information","Male","Total","Total","Nonveteran","Firms with 16 or more years in business","2018","12,895","W","441,799","31,264,622","6.3","S","3.7","7.1"
"United States","51","Information","Equally male/female","Total","Total","Nonveteran","Firms with less than 2 years in business","2018","1,542","U","5,357","328,882","9.5","S","26.4","16.8"
"United States","51","Information","Equally male/female","Total","Total","Nonveteran","Firms with 2 to 3 years in business","2018","1,194","T","4,618","264,686","14.9","S","20.8","38.0"
"United States","51","Information","Equally male/female","Total","Total","Nonveteran","Firms with 4 to 5 years in business","2018","708","T","5,114","277,901","18.3","S","36.0","39.8"
"United States","51","Information","Equally male/female","Total","Total","Nonveteran","Firms with 6 to 10 years in business","2018","1,570","U","7,826","569,302","15.5","S","16.6","38.8"
"United States","51","Information","Equally male/female","Total","Total","Nonveteran","Firms with 11 to 15 years in business","2018","1,297","U","12,047","912,121","13.8","S","25.5","19.8"
"United States","51","Information","Equally male/female","Total","Total","Nonveteran","Firms with 16 or more years in business","2018","2,402","W","29,636","1,791,546","7.2","S","10.5","12.5"
"United States","51","Information","Total","Hispanic","Total","Nonveteran","Firms with less than 2 years in business","2018","699","T","4,510","150,287","12.8","S","54.8","24.8"
"United States","51","Information","Total","Hispanic","Total","Nonveteran","Firms with 2 to 3 years in business","2018","584","R","2,103","87,391","16.1","S","26.0","29.5"
"United States","51","Information","Total","Hispanic","Total","Nonveteran","Firms with 4 to 5 years in business","2018","348","R","3,759","109,533","28.7","S","45.4","43.2"
"United States","51","Information","Total","Hispanic","Total","Nonveteran","Firms with 6 to 10 years in business","2018","449","T","4,481","153,284","22.3","S","41.6","34.1"
"United States","51","Information","Total","Hispanic","Total","Nonveteran","Firms with 11 to 15 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","51","Information","Total","Hispanic","Total","Nonveteran","Firms with 16 or more years in business","2018","460","U","4,980","378,881","21.5","S","23.1","21.1"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with less than 2 years in business","2018","126","M","216","12,757","23.5","S","34.3","27.3"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 2 to 3 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 4 to 5 years in business","2018","59","M","174","11,310","51.0","S","27.0","51.3"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 6 to 10 years in business","2018","145","O","476","37,813","41.2","S","32.4","27.5"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 11 to 15 years in business","2018","131","O","546","46,692","61.2","S","43.9","44.8"
"United States","51","Information","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 16 or more years in business","2018","100","R","1,099","71,452","41.8","S","6.5","11.7"
"United States","51","Information","Total","Non-Hispanic","Total","Nonveteran","Firms with less than 2 years in business","2018","12,386","W","54,245","4,056,172","4.0","S","6.6","6.0"
"United States","51","Information","Total","Non-Hispanic","Total","Nonveteran","Firms with 2 to 3 years in business","2018","9,674","W","58,119","4,207,109","7.7","S","16.7","20.2"
"United States","51","Information","Total","Non-Hispanic","Total","Nonveteran","Firms with 4 to 5 years in business","2018","6,603","W","49,886","3,474,916","7.6","S","11.6","13.2"
"United States","51","Information","Total","Non-Hispanic","Total","Nonveteran","Firms with 6 to 10 years in business","2018","9,869","W","123,884","11,531,578","4.6","S","8.7","13.7"
"United States","51","Information","Total","Non-Hispanic","Total","Nonveteran","Firms with 11 to 15 years in business","2018","7,857","W","175,482","28,351,285","5.3","S","15.1","12.4"
"United States","51","Information","Total","Non-Hispanic","Total","Nonveteran","Firms with 16 or more years in business","2018","17,948","W","527,481","36,966,475","4.8","S","3.5","6.4"
"United States","51","Information","Total","Total","White","Nonveteran","Firms with less than 2 years in business","2018","10,987","W","49,839","3,613,185","4.1","S","6.6","6.6"
"United States","51","Information","Total","Total","White","Nonveteran","Firms with 2 to 3 years in business","2018","8,709","W","52,118","3,822,150","6.0","S","17.8","20.6"
"United States","51","Information","Total","Total","White","Nonveteran","Firms with 4 to 5 years in business","2018","6,113","W","45,603","3,040,910","7.7","S","14.8","11.3"
"United States","51","Information","Total","Total","White","Nonveteran","Firms with 6 to 10 years in business","2018","9,371","W","114,253","10,242,352","5.3","S","8.5","15.0"
"United States","51","Information","Total","Total","White","Nonveteran","Firms with 11 to 15 years in business","2018","7,426","W","166,920","27,676,073","5.1","S","16.3","12.9"
"United States","51","Information","Total","Total","White","Nonveteran","Firms with 16 or more years in business","2018","17,468","W","511,938","35,760,117","5.3","S","4.0","6.8"
"United States","51","Information","Total","Total","Black or African American","Nonveteran","Firms with less than 2 years in business","2018","255","R","995","81,844","30.0","S","60.0","24.5"
"United States","51","Information","Total","Total","Black or African American","Nonveteran","Firms with 2 to 3 years in business","2018","192","R","1,097","57,733","15.7","S","37.7","13.9"
"United States","51","Information","Total","Total","Black or African American","Nonveteran","Firms with 4 to 5 years in business","2018","140","O","355","32,080","38.4","S","29.5","28.3"
"United States","51","Information","Total","Total","Black or African American","Nonveteran","Firms with 6 to 10 years in business","2018","248","T","1,750","193,095","34.8","S","41.3","48.4"
"United States","51","Information","Total","Total","Black or African American","Nonveteran","Firms with 11 to 15 years in business","2018","182","R","871","67,388","55.2","S","22.5","13.6"
"United States","51","Information","Total","Total","Black or African American","Nonveteran","Firms with 16 or more years in business","2018","215","T","3,452","228,308","22.3","S","8.5","6.8"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Nonveteran","Firms with less than 2 years in business","2018","47","K","94","6,302","32.9","S","32.2","42.6"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Nonveteran","Firms with 2 to 3 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Nonveteran","Firms with 4 to 5 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Nonveteran","Firms with 6 to 10 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Nonveteran","Firms with 11 to 15 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","American Indian and Alaska Native","Nonveteran","Firms with 16 or more years in business","2018","53","R","1,071","61,878","40.7","S","37.3","35.3"
"United States","51","Information","Total","Total","Asian","Nonveteran","Firms with less than 2 years in business","2018","1,807","U","7,958","504,411","3.8","S","6.3","4.8"
"United States","51","Information","Total","Total","Asian","Nonveteran","Firms with 2 to 3 years in business","2018","1,445","U","6,687","343,098","18.4","S","17.0","23.1"
"United States","51","Information","Total","Total","Asian","Nonveteran","Firms with 4 to 5 years in business","2018","675","T","5,293","272,827","17.0","S","46.6","33.7"
"United States","51","Information","Total","Total","Asian","Nonveteran","Firms with 6 to 10 years in business","2018","767","U","11,800","1,178,935","21.2","S","47.1","53.4"
"United States","51","Information","Total","Total","Asian","Nonveteran","Firms with 11 to 15 years in business","2018","596","U","11,060","826,980","32.4","S","35.8","51.5"
"United States","51","Information","Total","Total","Asian","Nonveteran","Firms with 16 or more years in business","2018","720","U","15,843","1,229,219","16.1","S","14.5","14.7"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Nonveteran","Firms with less than 2 years in business","2018","37","L","55","4,622","20.4","S","20.7","22.0"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Nonveteran","Firms with 2 to 3 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Nonveteran","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Nonveteran","Firms with 6 to 10 years in business","2018","7","K","31","2,291","50.2","S","26.4","37.6"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Nonveteran","Firms with 11 to 15 years in business","2018","8","K","49","2,843","34.8","S","11.4","11.9"
"United States","51","Information","Total","Total","Native Hawaiian and Other Pacific Islander","Nonveteran","Firms with 16 or more years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Minority","Nonveteran","Firms with less than 2 years in business","2018","2,837","U","13,579","750,830","5.8","S","20.3","6.9"
"United States","51","Information","Total","Total","Minority","Nonveteran","Firms with 2 to 3 years in business","2018","2,239","U","9,925","490,786","11.7","S","10.3","14.1"
"United States","51","Information","Total","Total","Minority","Nonveteran","Firms with 4 to 5 years in business","2018","1,204","U","9,442","415,807","11.8","S","33.3","28.9"
"United States","51","Information","Total","Total","Minority","Nonveteran","Firms with 6 to 10 years in business","2018","1,509","U","19,349","1,667,153","11.4","S","27.8","37.6"
"United States","51","Information","Total","Total","Minority","Nonveteran","Firms with 11 to 15 years in business","2018","1,097","U","15,174","1,120,808","19.9","S","24.9","37.3"
"United States","51","Information","Total","Total","Minority","Nonveteran","Firms with 16 or more years in business","2018","1,462","W","25,750","1,901,218","9.2","S","8.5","8.8"
"United States","51","Information","Total","Total","Equally minority/nonminority","Nonveteran","Firms with less than 2 years in business","2018","392","R","760","81,330","18.4","S","28.8","24.1"
"United States","51","Information","Total","Total","Equally minority/nonminority","Nonveteran","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Nonveteran","Firms with 4 to 5 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","51","Information","Total","Total","Equally minority/nonminority","Nonveteran","Firms with 6 to 10 years in business","2018","224","R","1,117","112,095","29.8","S","16.5","17.8"
"United States","51","Information","Total","Total","Equally minority/nonminority","Nonveteran","Firms with 11 to 15 years in business","2018","159","R","938","81,386","26.2","S","31.2","44.0"
"United States","51","Information","Total","Total","Equally minority/nonminority","Nonveteran","Firms with 16 or more years in business","2018","242","U","3,012","346,665","18.2","S","29.4","40.0"
"United States","51","Information","Total","Total","Nonminority","Nonveteran","Firms with less than 2 years in business","2018","9,984","W","44,632","3,387,055","3.6","S","7.0","6.6"
"United States","51","Information","Total","Total","Nonminority","Nonveteran","Firms with 2 to 3 years in business","2018","7,850","W","48,889","3,667,175","7.2","S","18.4","21.1"
"United States","51","Information","Total","Total","Nonminority","Nonveteran","Firms with 4 to 5 years in business","2018","5,682","W","41,526","2,909,127","8.4","S","14.9","12.0"
"United States","51","Information","Total","Total","Nonminority","Nonveteran","Firms with 6 to 10 years in business","2018","8,730","W","108,375","9,943,427","5.2","S","9.3","15.4"
