"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Employment size of firms code (EMPSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","39","R","1,402","132,848","88.4","S","38.8","39.5"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Equally veteran/nonveteran","Firms with 100 to 249 employees","2018","12","R","1,467","125,103","46.2","S","41.3","20.9"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Equally veteran/nonveteran","Firms with 250 to 499 employees","2018","5","R","1,645","148,788","32.1","S","1.1","2.0"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Equally veteran/nonveteran","Firms with 500 employees or more","2018","4","R","2,010","63,500","40.1","S","2.7","1.5"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with no employees","2018","1,883","R","0","93,280","9.1","S","0.0","24.0"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","6,618","U","11,830","508,528","11.4","S","15.0","15.2"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","1,049","T","6,500","307,831","26.4","S","28.1","32.0"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","545","U","7,435","334,805","29.3","S","28.7","34.8"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","251","T","6,695","416,588","46.7","S","45.7","50.0"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 100 to 249 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Equally veteran/nonveteran","Firms with 500 employees or more","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with no employees","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with no employees","2018","102","L","0","7,476","30.6","S","0.0","18.5"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","431","O","726","39,989","32.3","S","37.0","45.6"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 250 to 499 employees","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Equally veteran/nonveteran","Firms with 500 employees or more","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with no employees","2018","2,248","T","0","120,929","10.1","S","0.0","20.9"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","8,686","U","16,956","848,668","6.6","S","8.5","15.1"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","1,997","U","12,986","733,233","18.4","S","18.8","22.5"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","1,228","U","16,850","1,033,799","35.1","S","35.1","33.4"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","517","U","14,679","995,673","26.0","S","25.6","35.3"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 100 to 249 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 250 to 499 employees","2018","4","R","1,223","92,358","40.1","S","0.2","0.3"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Equally veteran/nonveteran","Firms with 500 employees or more","2018","4","R","2,438","115,414","40.1","S","1.1","0.1"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with no employees","2018","2,270","T","0","125,945","10.7","S","0.0","20.5"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","8,709","U","17,063","831,599","6.2","S","8.4","14.1"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","1,991","U","12,897","715,470","17.3","S","17.9","22.1"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","1,219","U","16,715","1,013,151","35.8","S","35.7","34.2"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","516","U","14,636","970,597","26.2","S","26.8","37.6"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 100 to 249 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 250 to 499 employees","2018","5","R","1,645","148,788","32.1","S","1.1","2.0"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Equally veteran/nonveteran","Firms with 500 employees or more","2018","5","R","2,877","121,521","32.1","S","1.6","0.3"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with no employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","American Indian and Alaska Native","Equally veteran/nonveteran","Firms with no employees","2018","7","I","0","323","22.9","S","0.0","0.4"
"United States","54","Professional, scientific, and technical services","Total","Total","American Indian and Alaska Native","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Asian","Equally veteran/nonveteran","Firms with no employees","2018","6","B","0","146","26.8","S","0.0","3.7"
"United States","54","Professional, scientific, and technical services","Total","Total","Asian","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Asian","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Native Hawaiian and Other Pacific Islander","Equally veteran/nonveteran","Firms with no employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Native Hawaiian and Other Pacific Islander","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Native Hawaiian and Other Pacific Islander","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Minority","Equally veteran/nonveteran","Firms with no employees","2018","S","S","0 to 19 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Minority","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Minority","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Minority","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Minority","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Minority","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","5","L","268","11,041","55.6","S","67.7","55.0"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with no employees","2018","147","L","0","9,700","20.2","S","0.0","9.3"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","853","R","1,649","81,537","24.1","S","27.1","32.6"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","6","L","390","23,559","70.8","S","83.7","38.0"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 100 to 249 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 250 to 499 employees","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Equally minority/nonminority","Equally veteran/nonveteran","Firms with 500 employees or more","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with no employees","2018","2,148","R","0","117,513","11.2","S","0.0","21.6"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 1 to 4 employees","2018","8,064","U","15,778","767,386","6.8","S","8.9","15.8"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 5 to 9 employees","2018","1,912","U","12,404","701,952","18.6","S","19.2","22.4"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 10 to 19 employees","2018","1,175","U","16,110","991,136","36.8","S","36.6","35.2"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 20 to 49 employees","2018","501","U","14,008","942,393","26.0","S","26.0","38.3"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 50 to 99 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 100 to 249 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 250 to 499 employees","2018","4","R","1,223","92,358","40.1","S","0.2","0.3"
"United States","54","Professional, scientific, and technical services","Total","Total","Nonminority","Equally veteran/nonveteran","Firms with 500 employees or more","2018","4","R","2,438","115,414","40.1","S","1.1","0.1"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with no employees","2018","120,249","W","0","7,213,619","2.3","S","0.0","4.2"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 1 to 4 employees","2018","423,810","W","751,205","40,925,658","0.7","S","0.7","2.4"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 5 to 9 employees","2018","90,088","W","588,275","35,444,104","2.7","S","2.7","2.6"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 10 to 19 employees","2018","51,412","W","686,052","45,260,150","2.7","S","3.2","4.0"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 20 to 49 employees","2018","28,050","W","827,564","63,239,248","5.3","S","5.7","5.7"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 50 to 99 employees","2018","7,102","W","465,727","39,241,805","9.4","S","9.1","10.4"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 100 to 249 employees","2018","4,058","W","556,314","43,009,433","13.5","S","14.7","13.8"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 250 to 499 employees","2018","1,384","W","388,571","33,570,779","17.5","S","17.1","25.6"
"United States","54","Professional, scientific, and technical services","Total","Total","Total","Nonveteran","Firms with 500 employees or more","2018","957","W","601,275","44,844,022","17.1","S","16.3","17.6"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with no employees","2018","33,054","W","0","1,551,600","4.0","S","0.0","4.0"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 1 to 4 employees","2018","115,980","W","201,286","9,305,420","2.8","S","3.4","5.0"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 5 to 9 employees","2018","22,026","W","143,582","7,429,136","5.2","S","5.6","6.7"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 10 to 19 employees","2018","11,091","W","147,254","8,102,650","9.8","S","11.0","12.0"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 20 to 49 employees","2018","4,369","W","128,228","8,302,153","8.9","S","9.1","9.6"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 50 to 99 employees","2018","1,200","W","79,444","5,907,179","18.0","S","16.2","16.2"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 100 to 249 employees","2018","591","W","88,492","7,106,877","26.0","S","25.5","29.3"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 250 to 499 employees","2018","228","W","69,512","4,403,429","48.9","S","50.5","39.9"
"United States","54","Professional, scientific, and technical services","Female","Total","Total","Nonveteran","Firms with 500 employees or more","2018","S","S","100,000 employees or more","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with no employees","2018","72,361","W","0","4,880,336","2.8","S","0.0","5.6"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 1 to 4 employees","2018","265,227","W","471,526","27,561,398","1.0","S","0.8","2.4"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 5 to 9 employees","2018","59,765","W","390,105","25,134,702","3.5","S","3.4","3.3"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 10 to 19 employees","2018","35,435","W","474,132","33,432,684","1.7","S","1.9","3.7"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 20 to 49 employees","2018","20,837","W","619,722","50,027,245","5.1","S","5.3","5.5"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 50 to 99 employees","2018","5,385","W","352,512","31,521,385","13.1","S","12.9","13.7"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 100 to 249 employees","2018","3,280","W","445,608","33,911,413","16.0","S","16.8","15.2"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 250 to 499 employees","2018","1,094","W","297,364","27,990,846","25.2","S","23.3","31.8"
"United States","54","Professional, scientific, and technical services","Male","Total","Total","Nonveteran","Firms with 500 employees or more","2018","717","W","450,721","36,185,417","12.4","S","16.7","20.6"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with no employees","2018","14,837","U","0","781,683","5.7","S","0.0","9.2"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 1 to 4 employees","2018","42,601","W","78,394","4,058,840","5.8","S","6.8","7.4"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 5 to 9 employees","2018","8,300","W","54,588","2,880,266","9.9","S","10.6","12.7"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 10 to 19 employees","2018","4,886","W","64,667","3,724,816","8.1","S","7.5","9.5"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 20 to 49 employees","2018","2,846","W","79,615","4,909,850","13.3","S","15.8","20.8"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 50 to 99 employees","2018","517","U","33,770","1,813,240","32.4","S","34.8","29.9"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 100 to 249 employees","2018","189","W","22,214","1,991,143","40.3","S","34.6","29.5"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 250 to 499 employees","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Equally male/female","Total","Total","Nonveteran","Firms with 500 employees or more","2018","64","U","35,433","1,431,358","73.5","S","77.2","5.4"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with no employees","2018","4,977","U","0","251,100","5.9","S","0.0","26.1"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 1 to 4 employees","2018","20,850","W","37,170","1,673,219","3.0","S","3.7","7.8"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 5 to 9 employees","2018","4,117","U","26,802","1,461,851","8.4","S","9.3","14.3"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 10 to 19 employees","2018","2,016","U","27,642","1,594,310","13.3","S","14.4","20.9"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 20 to 49 employees","2018","815","U","26,208","2,022,347","20.5","S","24.1","23.6"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 50 to 99 employees","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 100 to 249 employees","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 250 to 499 employees","2018","21","U","6,204","424,082","32.3","S","33.5","37.4"
"United States","54","Professional, scientific, and technical services","Total","Hispanic","Total","Nonveteran","Firms with 500 employees or more","2018","13","U","8,045","545,413","35.6","S","1.3","1.3"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with no employees","2018","988","R","0","49,271","17.2","S","0.0","23.1"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 1 to 4 employees","2018","3,359","U","6,277","337,078","11.1","S","11.3","15.6"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 5 to 9 employees","2018","747","U","5,371","346,509","29.9","S","31.9","53.1"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 10 to 19 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 20 to 49 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 50 to 99 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 100 to 249 employees","2018","7","R","1,121","102,127","54.7","S","29.9","15.7"
"United States","54","Professional, scientific, and technical services","Total","Equally Hispanic/non-Hispanic","Total","Nonveteran","Firms with 500 employees or more","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with no employees","2018","114,282","W","0","6,913,248","2.5","S","0.0","4.7"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 1 to 4 employees","2018","399,602","W","707,758","38,915,362","0.6","S","0.7","2.4"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 5 to 9 employees","2018","85,222","W","556,102","33,635,744","2.6","S","2.6","2.4"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 10 to 19 employees","2018","49,060","W","654,066","43,409,592","2.3","S","2.8","3.7"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 20 to 49 employees","2018","27,012","W","794,733","60,695,782","5.5","S","5.9","6.1"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 50 to 99 employees","2018","6,822","W","445,820","37,992,137","9.6","S","9.6","10.5"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 100 to 249 employees","2018","3,909","W","534,707","41,902,441","14.8","S","15.8","14.5"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 250 to 499 employees","2018","1,364","W","382,367","33,146,697","17.7","S","17.2","26.0"
"United States","54","Professional, scientific, and technical services","Total","Non-Hispanic","Total","Nonveteran","Firms with 500 employees or more","2018","943","W","592,344","44,288,404","17.4","S","16.6","17.8"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with no employees","2018","106,238","W","0","6,491,602","2.4","S","0.0","4.9"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 1 to 4 employees","2018","378,052","W","673,689","36,130,910","0.8","S","1.0","2.7"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 5 to 9 employees","2018","81,511","W","531,967","31,927,250","3.0","S","3.0","2.7"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 10 to 19 employees","2018","47,053","W","626,717","40,823,275","2.7","S","3.0","3.5"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 20 to 49 employees","2018","25,073","W","737,574","55,786,937","6.0","S","6.3","6.3"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 50 to 99 employees","2018","6,208","W","405,718","34,733,746","12.4","S","11.6","13.2"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 100 to 249 employees","2018","3,531","W","483,351","36,689,972","14.4","S","15.4","15.0"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 250 to 499 employees","2018","1,217","W","335,014","29,402,844","20.5","S","19.6","29.3"
"United States","54","Professional, scientific, and technical services","Total","Total","White","Nonveteran","Firms with 500 employees or more","2018","868","W","538,623","39,699,730","19.0","S","18.3","19.9"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with no employees","2018","2,477","T","0","104,499","5.2","S","0.0","12.6"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 1 to 4 employees","2018","10,116","U","17,179","801,851","8.4","S","10.7","14.1"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 5 to 9 employees","2018","1,993","U","12,963","739,150","16.9","S","17.2","21.6"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 10 to 19 employees","2018","854","U","11,281","658,998","22.2","S","24.8","33.2"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 20 to 49 employees","2018","356","U","9,478","666,320","32.3","S","30.5","37.0"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 50 to 99 employees","2018","209","U","14,347","593,150","36.6","S","41.2","22.8"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 100 to 249 employees","2018","89","U","7,422","591,421","67.6","S","10.6","13.3"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 250 to 499 employees","2018","8","R","2,300","196,068","20.1","S","0.1","0.1"
"United States","54","Professional, scientific, and technical services","Total","Total","Black or African American","Nonveteran","Firms with 500 employees or more","2018","15","U","9,088","396,341","10.7","S","0.2","0.1"
